Make,Model,Year,Mileage,Color,Automatic Transmission_Yes,Air Conditioner_Yes,Power Steering_Yes,Remote Control_Yes,Price
59,739,2016,140000.0,1,1.0,1.0,1.0,1.0,1500000.0
20,213,2024,1600.0,1,1.0,1.0,1.0,1.0,2750000.0
47,573,2007,135000.0,21,1.0,1.0,1.0,1.0,530000.0
59,739,2020,70000.0,22,1.0,1.0,1.0,1.0,2150000.0
47,347,2016,120000.0,1,1.0,1.0,1.0,1.0,880000.0
5,92,2019,130000.0,1,1.0,1.0,1.0,1.0,3250000.0
86,745,2019,99000.0,13,1.0,1.0,1.0,1.0,1650000.0
73,316,2020,52000.0,1,1.0,1.0,1.0,1.0,4150000.0
47,351,2013,120000.0,1,0.0,0.0,0.0,0.0,730000.0
17,158,2022,65000.0,3,1.0,1.0,1.0,1.0,655000.0
38,356,2014,420000.0,2,0.0,0.0,0.0,0.0,290000.0
18,287,2016,115000.0,13,1.0,1.0,1.0,1.0,675000.0
47,435,2008,190000.0,21,1.0,1.0,1.0,1.0,550000.0
75,531,2016,174000.0,13,1.0,1.0,1.0,0.0,720000.0
76,744,2020,120000.0,9,1.0,1.0,1.0,1.0,730000.0
23,608,2001,300000.0,21,0.0,0.0,0.0,0.0,215000.0
59,739,2012,130000.0,21,1.0,1.0,1.0,1.0,1100000.0
68,82,2022,22000.0,21,1.0,1.0,1.0,1.0,900000.0
17,158,2023,150476.22754452928,20,1.0,1.0,1.0,1.0,940000.0
32,306,2017,290000.0,10,0.0,1.0,0.0,1.0,600000.0
17,778,2012,145000.0,1,0.0,0.0,0.0,0.0,500000.0
53,860,2023,16000.0,2,1.0,0.0,0.0,0.0,1550000.0
97,788,2022,70000.0,18,1.0,1.0,1.0,1.0,2750000.0
47,347,2019,130000.0,1,1.0,0.0,0.0,0.0,950000.0
86,612,2016,94000.0,18,1.0,1.0,1.0,1.0,1350000.0
93,152,2015,137000.0,9,0.0,1.0,0.0,0.0,300000.0
23,529,2008,128000.0,1,0.0,0.0,0.0,0.0,460000.0
86,384,2010,130000.0,1,0.0,0.0,0.0,0.0,670000.0
76,744,2012,186000.0,12,0.0,0.0,0.0,0.0,460000.0
47,823,2015,235000.0,21,0.0,1.0,0.0,1.0,395000.0
76,659,2017,175000.0,9,1.0,1.0,0.0,1.0,1100000.0
32,87,2015,95000.0,1,1.0,1.0,1.0,1.0,875000.0
82,712,2021,60000.0,3,1.0,1.0,1.0,1.0,719000.0
18,287,2015,145000.0,21,1.0,1.0,1.0,1.0,699000.0
18,619,2021,52000.0,18,1.0,1.0,1.0,1.0,750000.0
47,823,2013,225000.0,9,0.0,0.0,0.0,0.0,400000.0
47,372,1998,150476.22754452928,1,0.0,0.0,0.0,0.0,120000.0
47,143,2009,135000.0,6,0.0,0.0,0.0,0.0,445000.0
52,454,2015,90000.0,1,0.0,0.0,0.0,0.0,3100000.0
71,53,2008,350000.0,12,1.0,1.0,1.0,1.0,575000.0
59,739,2021,75000.0,7,1.0,1.0,1.0,1.0,1780000.0
73,412,2021,33000.0,1,1.0,1.0,1.0,1.0,2920000.0
59,247,2018,70000.0,21,1.0,0.0,0.0,1.0,1325000.0
47,804,2021,28000.0,22,1.0,1.0,1.0,1.0,1950000.0
59,733,2010,109000.0,20,1.0,1.0,1.0,1.0,480000.0
59,739,2017,100000.0,1,1.0,1.0,0.0,0.0,1450000.0
47,804,2017,75000.0,21,1.0,1.0,1.0,1.0,1550000.0
47,804,2019,100000.0,21,1.0,1.0,1.0,1.0,1780000.0
73,420,2015,95000.0,21,1.0,1.0,1.0,1.0,2750000.0
81,708,2011,135000.0,21,0.0,0.0,0.0,0.0,345000.0
73,219,2020,55000.0,23,1.0,1.0,1.0,1.0,3000000.0
47,349,2023,150.0,22,0.0,0.0,0.0,0.0,1750000.0
82,311,2020,60000.0,1,1.0,1.0,1.0,1.0,1020000.0
23,537,2001,249000.0,7,0.0,0.0,0.0,0.0,240000.0
73,51,2015,150476.22754452928,1,1.0,0.0,0.0,0.0,954512.3051434528
77,492,2014,182000.0,11,0.0,0.0,0.0,0.0,940000.0
96,686,2022,60000.0,22,1.0,1.0,1.0,1.0,1460000.0
59,239,2015,198000.0,21,1.0,1.0,1.0,1.0,1100000.0
82,549,2022,60000.0,1,0.0,1.0,1.0,1.0,650000.0
52,454,2016,155000.0,22,1.0,1.0,0.0,1.0,2600000.0
82,515,2018,137000.0,2,1.0,1.0,1.0,1.0,1150000.0
9,378,2013,175000.0,2,1.0,0.0,0.0,0.0,400000.0
18,170,2008,83000.0,21,1.0,1.0,1.0,1.0,490000.0
17,786,2024,150476.22754452928,18,1.0,1.0,1.0,1.0,1800000.0
47,478,2010,129000.0,1,0.0,0.0,0.0,0.0,375000.0
82,311,2019,186000.0,3,1.0,1.0,1.0,1.0,800000.0
93,152,2019,156000.0,22,0.0,1.0,0.0,1.0,400000.0
75,533,2016,160000.0,21,1.0,0.0,0.0,0.0,660000.0
73,28,1984,200000.0,22,0.0,0.0,0.0,0.0,230000.0
68,82,2021,42000.0,1,1.0,1.0,1.0,1.0,780000.0
84,542,2023,10000.0,13,0.0,0.0,0.0,0.0,2300000.0
52,454,1996,200000.0,10,1.0,0.0,0.0,0.0,500000.0
18,619,2018,250000.0,9,1.0,1.0,1.0,1.0,470000.0
32,14,1979,150476.22754452928,20,0.0,0.0,0.0,0.0,35000.0
76,744,2014,84000.0,21,0.0,0.0,0.0,0.0,600000.0
26,250,2009,150476.22754452928,1,1.0,1.0,0.0,1.0,1500000.0
76,809,2014,90000.0,22,0.0,0.0,0.0,0.0,550000.0
75,533,2016,105000.0,1,1.0,0.0,0.0,0.0,820000.0
93,748,2022,23000.0,20,1.0,1.0,1.0,1.0,975000.0
18,536,2017,100000.0,18,0.0,0.0,0.0,0.0,390000.0
96,686,2019,90000.0,11,1.0,1.0,1.0,1.0,1250000.0
52,252,2016,150000.0,9,0.0,0.0,0.0,0.0,2600000.0
47,484,2015,90000.0,20,1.0,1.0,0.0,1.0,1100000.0
47,167,2000,144000.0,12,1.0,1.0,1.0,1.0,470000.0
75,533,2015,160000.0,13,0.0,0.0,0.0,0.0,620000.0
12,376,2020,150000.0,20,0.0,0.0,0.0,0.0,465000.0
47,352,2014,150476.22754452928,22,0.0,0.0,0.0,0.0,925000.0
47,351,2020,114000.0,20,1.0,1.0,1.0,1.0,825000.0
68,883,2022,200000.0,20,1.0,1.0,1.0,1.0,950000.0
17,780,2022,60000.0,22,1.0,1.0,1.0,1.0,930000.0
77,492,2018,170000.0,10,1.0,1.0,1.0,1.0,1330000.0
96,877,2018,93000.0,21,1.0,0.0,0.0,1.0,920000.0
77,160,2014,202000.0,9,0.0,0.0,0.0,0.0,650000.0
77,819,1997,200000.0,20,0.0,0.0,0.0,1.0,250000.0
59,247,2016,100000.0,22,1.0,1.0,0.0,1.0,935000.0
93,254,2018,117000.0,21,1.0,1.0,1.0,0.0,800000.0
45,257,2013,100000.0,21,1.0,1.0,1.0,1.0,950000.0
60,461,2022,58000.0,4,0.0,0.0,0.0,0.0,490000.0
59,680,2015,88000.0,13,0.0,0.0,0.0,0.0,800000.0
47,352,2012,130000.0,6,0.0,0.0,0.0,0.0,770000.0
59,680,2014,96000.0,21,0.0,0.0,0.0,0.0,670000.0
30,332,2015,200000.0,22,0.0,1.0,1.0,1.0,385000.0
47,573,2008,270000.0,10,0.0,0.0,0.0,0.0,450000.0
90,778,2012,128000.0,1,0.0,0.0,0.0,0.0,379000.0
23,529,2004,198000.0,21,0.0,0.0,0.0,0.0,430000.0
59,646,2000,150476.22754452928,14,0.0,0.0,0.0,0.0,210000.0
77,492,2014,150000.0,1,1.0,1.0,1.0,1.0,1000000.0
59,511,2013,49900.0,22,1.0,0.0,0.0,0.0,650000.0
76,744,2012,58000.0,21,0.0,0.0,0.0,0.0,490000.0
90,134,2010,70000.0,22,0.0,0.0,0.0,0.0,235000.0
47,352,2011,148000.0,21,1.0,1.0,0.0,1.0,590000.0
93,694,2022,16000.0,2,0.0,1.0,1.0,1.0,530000.0
97,363,2007,166000.0,1,0.0,1.0,0.0,1.0,680000.0
59,739,2017,104000.0,1,1.0,1.0,1.0,1.0,1600000.0
38,357,2019,80000.0,15,1.0,1.0,1.0,1.0,830000.0
76,744,2024,150476.22754452928,1,1.0,1.0,1.0,1.0,1060.0
68,99,2021,51000.0,1,1.0,1.0,1.0,1.0,1200000.0
47,145,2015,150000.0,21,1.0,0.0,0.0,0.0,680000.0
59,739,2019,83000.0,18,1.0,1.0,1.0,1.0,1580000.0
18,619,2022,185000.0,18,1.0,1.0,1.0,1.0,730000.0
90,136,2007,170000.0,13,1.0,1.0,0.0,1.0,255000.0
18,287,2016,130000.0,10,1.0,1.0,1.0,1.0,690000.0
82,577,2022,7000.0,21,1.0,1.0,1.0,1.0,1350000.0
59,511,2016,140000.0,4,1.0,1.0,1.0,1.0,890000.0
68,82,2024,0.0,21,1.0,1.0,1.0,1.0,1350000.0
50,495,2019,120000.0,21,1.0,1.0,1.0,1.0,620000.0
17,158,2023,30000.0,13,1.0,1.0,1.0,1.0,840000.0
86,610,1997,255000.0,8,0.0,0.0,0.0,0.0,300000.0
96,274,2007,208000.0,21,0.0,0.0,0.0,0.0,570000.0
77,492,2017,95000.0,1,1.0,0.0,0.0,0.0,1400000.0
86,610,1999,300000.0,8,0.0,0.0,0.0,0.0,500000.0
38,356,2013,125000.0,1,0.0,1.0,1.0,1.0,330000.0
20,201,2018,95000.0,21,1.0,1.0,1.0,1.0,650000.0
47,352,2015,151000.0,22,1.0,1.0,0.0,1.0,630000.0
90,134,2010,187000.0,22,0.0,0.0,0.0,0.0,185000.0
76,744,2020,30000.0,20,1.0,1.0,1.0,1.0,760000.0
59,739,2024,150476.22754452928,22,1.0,1.0,1.0,1.0,2850000.0
18,170,2007,200000.0,22,0.0,0.0,0.0,0.0,350000.0
79,90,2018,148000.0,21,1.0,1.0,1.0,1.0,1050000.0
59,739,2022,28000.0,20,1.0,1.0,1.0,1.0,2300000.0
47,162,2011,125000.0,20,0.0,0.0,0.0,0.0,250000.0
96,274,2019,130000.0,13,1.0,1.0,1.0,1.0,1100000.0
82,311,2023,8000.0,21,1.0,1.0,1.0,1.0,1500000.0
47,351,2018,72000.0,20,1.0,1.0,1.0,1.0,870000.0
76,744,2023,21000.0,13,1.0,1.0,1.0,1.0,920000.0
68,883,2021,79000.0,2,1.0,1.0,1.0,1.0,1100000.0
38,356,2017,165000.0,2,0.0,1.0,1.0,1.0,390000.0
59,739,2017,90000.0,22,1.0,1.0,1.0,1.0,1500000.0
18,619,2015,85000.0,20,0.0,0.0,0.0,0.0,750000.0
75,531,2015,113000.0,20,1.0,0.0,0.0,0.0,760000.0
82,549,2010,200000.0,1,0.0,0.0,0.0,0.0,290000.0
96,181,2022,20000.0,3,0.0,0.0,0.0,0.0,1050000.0
59,680,2015,70000.0,15,1.0,0.0,0.0,0.0,720000.0
96,274,2004,95000.0,22,1.0,1.0,1.0,1.0,670000.0
84,273,2006,161000.0,1,0.0,0.0,0.0,0.0,335000.0
82,712,2016,60000.0,21,1.0,1.0,1.0,1.0,695000.0
12,376,2020,118000.0,21,0.0,0.0,0.0,0.0,375000.0
38,268,2024,80.0,22,0.0,0.0,0.0,0.0,1650000.0
20,214,2020,84684.0,22,1.0,0.0,0.0,0.0,1590000.0
18,619,2022,40000.0,2,1.0,1.0,1.0,1.0,720000.0
47,348,2019,55000.0,21,0.0,0.0,0.0,0.0,980000.0
59,239,2011,268000.0,1,1.0,1.0,1.0,1.0,670000.0
98,865,2016,107000.0,7,0.0,0.0,0.0,0.0,1780000.0
52,454,2015,170000.0,4,0.0,0.0,0.0,0.0,2450000.0
73,139,2022,4000.0,13,1.0,1.0,1.0,1.0,9800000.0
47,823,2016,150000.0,21,0.0,0.0,0.0,0.0,540000.0
76,744,2023,10000.0,1,1.0,1.0,1.0,1.0,990000.0
73,118,2021,103000.0,1,1.0,1.0,1.0,1.0,2120000.0
68,82,2021,100000.0,20,1.0,1.0,1.0,1.0,890000.0
82,392,2011,200000.0,18,1.0,1.0,1.0,1.0,490000.0
86,521,2023,150476.22754452928,21,1.0,1.0,1.0,1.0,3000000.0
65,65,2012,180000.0,12,0.0,0.0,0.0,0.0,200000.0
12,376,2023,57000.0,13,0.0,1.0,1.0,1.0,630000.0
23,536,2001,248000.0,8,0.0,0.0,0.0,0.0,260000.0
12,376,2021,60000.0,2,0.0,1.0,1.0,1.0,550000.0
32,722,1995,100000.0,22,0.0,0.0,0.0,0.0,95000.0
86,613,2022,45000.0,13,1.0,1.0,1.0,1.0,2150000.0
23,608,2001,223000.0,21,0.0,1.0,1.0,1.0,290000.0
79,86,5008,150000.0,4,1.0,1.0,1.0,1.0,2500000.0
24,771,2008,103000.0,1,0.0,0.0,0.0,0.0,610000.0
17,158,2021,95000.0,22,1.0,1.0,1.0,1.0,570000.0
73,192,2020,35000.0,1,1.0,1.0,1.0,1.0,3300000.0
60,605,1983,150476.22754452928,16,0.0,0.0,0.0,0.0,100000.0
96,877,2009,130000.0,7,1.0,1.0,1.0,0.0,600000.0
60,37,2105,258000.0,22,0.0,0.0,0.0,0.0,80000.0
59,239,2011,120000.0,9,0.0,0.0,0.0,0.0,850000.0
18,598,2022,80000.0,13,0.0,0.0,0.0,0.0,560000.0
73,192,2009,155000.0,21,1.0,0.0,0.0,0.0,1295000.0
75,531,2002,212000.0,7,0.0,0.0,0.0,0.0,410000.0
86,384,2011,105000.0,18,1.0,1.0,1.0,1.0,800000.0
18,598,2020,135000.0,18,0.0,1.0,0.0,0.0,320000.0
22,331,2019,72000.0,1,1.0,1.0,1.0,1.0,750000.0
59,680,2015,130000.0,7,1.0,1.0,0.0,1.0,730000.0
76,659,2019,96000.0,22,1.0,1.0,1.0,1.0,1100000.0
75,534,2006,250000.0,22,0.0,0.0,0.0,0.0,375000.0
60,39,2107,150476.22754452928,22,0.0,0.0,0.0,0.0,100000.0
52,839,2012,150000.0,1,1.0,1.0,1.0,1.0,1850000.0
82,311,2020,54000.0,1,1.0,1.0,1.0,1.0,1200000.0
76,720,2024,24000.0,13,1.0,1.0,1.0,1.0,1350000.0
18,619,2022,38000.0,10,1.0,1.0,1.0,1.0,845000.0
96,274,2018,64500.0,2,1.0,0.0,0.0,1.0,1150000.0
79,57,2022,35000.0,13,1.0,1.0,1.0,1.0,1080000.0
47,804,2017,150000.0,6,1.0,1.0,1.0,1.0,1350000.0
47,167,2007,140000.0,21,1.0,1.0,1.0,1.0,630000.0
59,739,2015,160000.0,1,0.0,0.0,0.0,0.0,1350000.0
59,872,2022,40000.0,18,1.0,1.0,1.0,1.0,1625000.0
59,453,2020,71000.0,13,1.0,1.0,1.0,1.0,1450000.0
77,492,2014,120000.0,21,0.0,0.0,0.0,0.0,870000.0
96,274,2009,280000.0,9,1.0,1.0,0.0,0.0,620000.0
38,354,2014,16000.0,21,0.0,1.0,1.0,1.0,450000.0
96,274,2024,0.0,22,1.0,1.0,1.0,1.0,954512.3051434528
24,771,2000,90000.0,21,0.0,0.0,0.0,0.0,300000.0
82,712,2016,129000.0,20,0.0,0.0,0.0,0.0,550000.0
82,549,2016,160000.0,7,0.0,0.0,0.0,0.0,450000.0
90,134,2008,114000.0,20,0.0,0.0,0.0,0.0,295000.0
20,214,2022,50000.0,1,1.0,1.0,1.0,1.0,1750000.0
76,659,2018,60000.0,9,1.0,1.0,1.0,1.0,1200000.0
47,823,2007,195000.0,10,0.0,0.0,0.0,0.0,310000.0
43,469,2022,41000.0,2,0.0,0.0,0.0,0.0,1500000.0
24,585,1998,230000.0,19,1.0,0.0,0.0,0.0,180000.0
32,790,2021,40000.0,7,1.0,1.0,1.0,1.0,1500000.0
18,364,2020,92000.0,13,1.0,1.0,1.0,1.0,1500000.0
59,739,2018,110000.0,10,1.0,0.0,0.0,0.0,1550000.0
23,529,2003,364000.0,12,1.0,1.0,1.0,1.0,460000.0
84,542,2021,18000.0,20,1.0,1.0,1.0,1.0,2250000.0
93,178,2024,0.0,9,0.0,0.0,0.0,0.0,1300000.0
47,573,2003,145000.0,14,1.0,1.0,1.0,1.0,420000.0
76,744,2013,142000.0,1,1.0,1.0,1.0,0.0,450000.0
